City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
92,Payson,US,2021-04-23 20:50:48,40.0444,-111.7321,63.0,25,40,10.36,scattered clouds
93,Enid,US,2021-04-23 20:51:06,36.3956,-97.8784,62.6,88,90,4.61,overcast clouds
94,Mporokoso,ZM,2021-04-23 20:51:27,-9.3727,30.125,59.54,92,2,5.7,clear sky
95,Cherskiy,RU,2021-04-23 20:51:27,68.75,161.3,20.75,94,100,7.4,snow
96,Shimoda,JP,2021-04-23 20:51:28,34.6667,138.95,52.0,70,100,3.0,overcast clouds
97,Aiton,RO,2021-04-23 20:51:28,46.6833,23.7333,39.2,75,0,2.3,clear sky
98,Haines Junction,CA,2021-04-23 20:51:28,60.7522,-137.5108,48.2,29,9,5.75,clear sky
99,Tuktoyaktuk,CA,2021-04-23 20:50:39,69.4541,-133.0374,14.0,67,75,11.5,broken clouds
100,Saldanha,ZA,2021-04-23 20:51:29,-33.0117,17.9442,59.0,77,77,5.75,broken clouds
101,Sihora,IN,2021-04-23 20:51:29,23.4833,80.1167,82.33,16,6,4.5,clear sky
102,Sitka,US,2021-04-23 20:49:13,57.0531,-135.33,57.2,26,1,4.61,clear sky
103,Torbay,CA,2021-04-23 20:51:15,47.6666,-52.7314,45.0,65,75,21.85,broken clouds
104,Margate,GB,2021-04-23 20:51:30,51.3813,1.3862,48.0,71,48,4.0,scattered clouds
105,Kaitangata,NZ,2021-04-23 20:51:30,-46.2817,169.8464,50.0,82,21,5.01,few clouds
106,Yumen,CN,2021-04-23 20:51:30,40.2833,97.2,38.25,83,65,1.39,broken clouds
107,Cap Malheureux,MU,2021-04-23 20:51:31,-19.9842,57.6142,78.01,79,99,4.0,overcast clouds
108,Broome,US,2021-04-23 20:51:31,42.2506,-75.833,60.01,32,1,17.27,clear sky
109,Barceloneta,PR,2021-04-23 20:51:31,18.4505,-66.5385,82.0,78,78,3.0,broken clouds
110,Olavarria,AR,2021-04-23 20:47:37,-36.8927,-60.3225,61.0,95,100,1.99,moderate rain
111,Turinsk,RU,2021-04-23 20:51:32,58.0458,63.696,46.51,76,100,6.29,overcast clouds
112,Conceicao Do Araguaia,BR,2021-04-23 20:51:32,-8.2578,-49.2647,87.8,62,0,3.44,clear sky
113,Kawalu,ID,2021-04-23 20:51:33,-7.3817,108.2082,69.15,95,1,2.1,clear sky
114,Hofn,IS,2021-04-23 20:51:33,64.2539,-15.2082,44.6,87,75,2.3,broken clouds
115,Salinopolis,BR,2021-04-23 20:51:33,-0.6136,-47.3561,79.93,83,49,7.56,heavy intensity rain
116,Tucuman,AR,2021-04-23 20:47:25,-26.8241,-65.2226,71.6,83,75,4.61,broken clouds
117,College,US,2021-04-23 20:51:34,64.8569,-147.8028,53.6,30,40,9.22,scattered clouds
118,Zhangjiakou,CN,2021-04-23 20:51:34,40.81,114.8794,51.15,82,1,3.09,clear sky
119,Fengzhen,CN,2021-04-23 20:51:34,40.4394,113.1536,51.58,63,67,4.38,broken clouds
120,Tabuk,PH,2021-04-23 20:51:35,17.4189,121.4443,68.83,83,18,3.13,few clouds
121,Port Blair,IN,2021-04-23 20:51:35,11.6667,92.75,80.83,73,100,7.47,overcast clouds
122,Leningradskiy,RU,2021-04-23 20:51:35,69.3833,178.4167,28.04,85,100,1.3,overcast clouds
123,Lavras,BR,2021-04-23 20:51:36,-21.2453,-44.9997,64.24,70,0,5.1,clear sky
124,Mogadishu,SO,2021-04-23 20:51:36,2.0371,45.3438,82.98,73,72,12.77,broken clouds
125,Tuatapere,NZ,2021-04-23 20:51:36,-46.1333,167.6833,45.0,95,98,1.99,overcast clouds
126,Westport,US,2021-04-23 20:51:01,41.1415,-73.3579,62.6,20,1,18.41,clear sky
127,Ribeira Grande,PT,2021-04-23 20:51:37,38.5167,-28.7,59.0,72,40,28.77,scattered clouds
128,Matamoros,MX,2021-04-23 20:51:37,25.5333,-103.25,91.0,8,75,13.8,broken clouds
129,Upernavik,GL,2021-04-23 20:51:37,72.7868,-56.1549,32.94,77,100,6.42,overcast clouds
130,Solnechnyy,RU,2021-04-23 20:51:38,50.7214,136.6319,30.31,79,75,5.35,broken clouds
131,Pangnirtung,CA,2021-04-23 20:51:38,66.1451,-65.7125,26.6,86,75,2.3,broken clouds
132,Stonewall,CA,2021-04-23 20:51:38,50.1344,-97.3268,37.99,38,75,18.41,broken clouds
133,Thinadhoo,MV,2021-04-23 20:51:39,0.5333,72.9333,82.29,68,10,8.39,clear sky
134,Cururupu,BR,2021-04-23 20:51:39,-1.8283,-44.8683,76.93,91,75,3.24,broken clouds
135,Sawtell,AU,2021-04-23 20:51:39,-30.3833,153.1,46.4,93,0,1.14,clear sky
136,Petropavlovsk-Kamchatskiy,RU,2021-04-23 20:51:36,53.0452,158.6483,35.6,93,40,2.24,scattered clouds
137,Arraial Do Cabo,BR,2021-04-23 20:51:40,-22.9661,-42.0278,75.2,78,0,19.57,clear sky
138,The Valley,AI,2021-04-23 20:51:40,18.217,-63.0578,86.0,65,20,12.66,few clouds
139,Barrow,US,2021-04-23 20:50:58,71.2906,-156.7887,17.6,79,1,6.91,clear sky
140,Keningau,MY,2021-04-23 20:51:41,5.3378,116.1602,78.01,94,20,3.44,few clouds
141,Male,MV,2021-04-23 20:51:41,4.1748,73.5089,84.2,79,75,10.36,broken clouds
142,Pisco,PE,2021-04-23 20:51:41,-13.7,-76.2167,71.6,68,0,10.36,clear sky
143,Nizhnevartovsk,RU,2021-04-23 20:50:48,60.9344,76.5531,35.6,51,0,8.95,clear sky
144,Nianzishan,CN,2021-04-23 20:51:42,47.5167,122.8833,40.57,38,85,7.78,overcast clouds
