City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Sorland,NO,2021-04-19 20:50:58,67.667,12.6934,44.6,81,0,9.22
146,Kamyshla,RU,2021-04-19 20:50:59,54.1169,52.1426,37.09,52,33,12.01
147,Severo-Kurilsk,RU,2021-04-19 20:50:59,50.6789,156.125,37.09,94,100,15.19
148,Campbell River,CA,2021-04-19 20:50:59,50.0163,-125.2446,64.4,36,20,10.36
149,Gojra,PK,2021-04-19 20:51:00,31.1487,72.6866,76.66,25,100,7.09
150,Margate,GB,2021-04-19 20:51:00,51.3813,1.3862,44.01,80,6,3.74
151,Lavrentiya,RU,2021-04-19 20:51:01,65.5833,-171.0,29.01,81,5,6.76
152,Liverpool,GB,2021-04-19 20:51:01,53.4106,-2.9779,52.0,68,83,1.99
153,Ilulissat,GL,2021-04-19 20:51:01,69.2167,-51.1,19.4,42,75,5.75
154,Mount Isa,AU,2021-04-19 20:46:41,-20.7333,139.5,69.8,32,40,8.05
155,San Ignacio,BZ,2021-04-19 20:51:02,17.1561,-89.0714,91.4,55,75,4.61
156,Santiago Del Estero,AR,2021-04-19 20:51:02,-27.7951,-64.2615,85.68,41,68,10.27
157,Santa Luzia,BR,2021-04-19 20:51:03,-19.7697,-43.8514,82.4,44,20,9.22
158,Lazaro Cardenas,MX,2021-04-19 20:48:45,17.9583,-102.2,82.67,46,41,9.46
159,Haines Junction,CA,2021-04-19 20:51:03,60.7522,-137.5108,48.2,31,13,4.61
160,Rio Gallegos,AR,2021-04-19 20:49:25,-51.6226,-69.2181,55.4,58,40,2.3
161,Bontang,ID,2021-04-19 20:47:39,0.1333,117.5,76.01,89,100,7.72
162,Murchison,NZ,2021-04-19 20:51:04,-41.8,172.3333,50.52,87,100,1.25
163,Jiaozuo,CN,2021-04-19 20:51:04,35.2397,113.2331,58.51,80,100,3.51
164,Normandin,CA,2021-04-19 20:51:05,48.8333,-72.5321,57.2,38,21,3.44
165,Dikson,RU,2021-04-19 20:51:05,73.5069,80.5464,-5.4,97,12,7.49
166,Hohhot,CN,2021-04-19 20:51:05,40.8106,111.6522,46.4,34,0,6.71
167,George Town,MY,2021-04-19 20:51:06,5.4112,100.3354,77.0,94,40,2.3
168,Smithers,CA,2021-04-19 20:51:06,54.7804,-127.1743,55.4,24,1,8.05
169,Fairbanks,US,2021-04-19 20:46:07,64.8378,-147.7164,50.0,57,1,3.44
170,Sakakah,SA,2021-04-19 20:51:07,29.9697,40.2064,80.6,13,0,10.36
171,Dunedin,NZ,2021-04-19 20:51:07,-45.8742,170.5036,54.5,67,0,4.0
172,Nusaybin,TR,2021-04-19 20:51:07,37.0778,41.2178,72.86,39,100,6.15
173,Quatre Cocos,MU,2021-04-19 20:51:08,-20.2078,57.7625,77.0,94,75,9.75
174,Tulle,FR,2021-04-19 20:51:08,45.3333,1.8333,48.99,63,9,4.0
175,Irece,BR,2021-04-19 20:51:09,-11.3042,-41.8558,72.23,79,100,5.73
176,Marawi,PH,2021-04-19 20:51:09,7.9986,124.2928,73.0,88,100,3.0
177,Carnarvon,AU,2021-04-19 20:51:09,-24.8667,113.6333,73.02,55,0,22.1
178,Alofi,NU,2021-04-19 20:51:10,-19.0595,-169.9187,82.4,74,40,14.97
179,Floro,NO,2021-04-19 20:51:10,61.5996,5.0328,51.8,58,0,13.8
180,Saint-Joseph,RE,2021-04-19 20:50:35,-21.3667,55.6167,75.2,94,75,5.75
181,Pakdasht,IR,2021-04-19 20:51:11,35.4752,51.6807,69.8,23,0,4.61
182,Provideniya,RU,2021-04-19 20:46:25,64.3833,-173.3,30.2,59,20,11.18
183,Jakarta,ID,2021-04-19 20:51:11,-6.2146,106.8451,78.01,88,20,2.3
184,Kaitangata,NZ,2021-04-19 20:51:12,-46.2817,169.8464,51.01,73,1,3.0
185,Iqaluit,CA,2021-04-19 20:51:13,63.7506,-68.5145,23.0,74,75,4.61
186,Barcelos,PT,2021-04-19 20:49:15,41.5388,-8.6151,59.0,82,75,3.44
187,Yaan,NG,2021-04-19 20:51:13,7.3833,8.5667,85.78,55,36,8.75
188,Yar-Sale,RU,2021-04-19 20:51:13,66.8333,70.8333,27.48,96,100,14.81
189,Ambon,ID,2021-04-19 20:51:14,-3.6954,128.1814,75.2,94,40,8.05
190,Hithadhoo,MV,2021-04-19 20:51:14,-0.6,73.0833,82.65,65,78,4.38
191,Balikpapan,ID,2021-04-19 20:48:26,-1.2675,116.8289,75.51,89,85,6.26
192,Kyshtovka,RU,2021-04-19 20:51:15,56.555,76.6271,14.32,84,13,6.87
193,Srednekolymsk,RU,2021-04-19 20:51:15,67.45,153.6833,27.5,77,100,4.59
194,Iquitos,PE,2021-04-19 20:51:16,-3.7481,-73.2472,84.2,70,40,5.75
195,Saint George,US,2021-04-19 20:50:59,37.1041,-113.5841,80.01,9,1,12.66
196,Puteyets,RU,2021-04-19 20:51:16,65.1716,57.091,31.82,77,100,8.95
197,Saskylakh,RU,2021-04-19 20:51:17,71.9167,114.0833,-15.93,100,86,3.69
